Výrok;Vyhodnotenie;Odôvodnenie;Oblast;Dátum;Meno;"Politická strana"
"…bývalej Dzurindovej vlády, ktorá sprivatizovala všetky nemocnice. ";Nepravda;;;0000-00-00;"Matúš Šutaj Eštok";Hlas
"Viete veľmi dobre, že záchrankový tender tu prebiehal za rovnakých podmienok a okolností, aký bol nastavený ešte od čias bývalej Dzurindovej vlády (...). Tie podmienky boli rovnako nastavené aj v tomto prípade.";Pravda;"Výberové konanie na prevádzkovanie záchraniek sa  v roku 2005 aj v 2025 riadilo rovnakým zákonom. Obe súťaže podliehali zákonu o poskytovateľoch zdravotnej starostlivosti z roku 2004, nepodliehali zákonu o verejnom obstarávaní. Výrok hodnotíme ako pravdivý.";Zdravotníctvo;2026-01-11;"Matúš Šutaj Eštok";Hlas
"42 % konsolidácie musí zvládať bežný občan.";Pravda;"Podľa Rady pre rozpočtovú zodpovednosť tvorí daňovo-odvodová záťaž fyzických osôb až 42 percent opatrení konsolidačného balíčka, ktorý vláda Roberta Fica predstavila v septembri 2025. Výrok preto hodnotíme ako pravdivý.";Ekonomika;2026-01-11;"Milan Majerský";"Kresťanskodemokratické hnutie"
"Práve preto sme prišli aj so zrušením Úradu na ochranu oznamovateľa, pretože to je ten úrad, ktorý sedem dní po voľbách dal ochranu zbabelým čurillovcom na základe vymysleného, vymysleného trestného stíhania vo veci Rozuzlenie.";Nepravda;"Vyšetrovatelia okolo Jána Čurillu získali krátko po voľbách v roku 2023 status chránených oznamovateľov za to, že oznamovali skutočnosti v trestnej veci Rozuzlenie. Generálna prokuratúra postupne zrušila stíhanie všetkým obvineným v tejto kauze. Argumentovala aj tým, že opísaný skutok nie je trestným činom. O udelení ochrany však nerozhodol Úrad na ochranu oznamovateľov, ktorý to ani nemá v kompetencii, aleprokurátor špeciálnej prokuratúry. Výrok Matúša Šutaja Eštoka preto hodnotíme ako nepravdivý.";"Spravodlivosť a súdnictvo";2026-01-11;"Matúš Šutaj Eštok";Hlas
"Milión ľudí máte na hranici chudoby.";Pravda;"Podľa Správy o chudobe na Slovensku 2025, ktorá vychádza z dát Eurostatu a Štatistického úradu SR, žilo v roku 2024 na hranici chudoby 980 tisíc Slovákov. Výrok preto hodnotíme ako pravdivý.";Ekonomika;2026-01-11;"Milan Majerský";"Kresťanskodemokratické hnutie"
"Veď ja už som nevidel dlhšiu rozpravu v parlamente, ako bola napr. pri rušení Úradu na ochranu oznamov a vytvorení nového úradu. Nevidel som dlhšiu rozpravu. Ozaj zákon, ktorý by v roku 2025 bol dlhšie prerokovaný v prvom čítaní, v skrátenom, v druhom čítaní, v treťom čítaní, to boli desiatky hodín. Ja som ešte nevidel.";Neoveritelné;;"Legislatívny proces a hlasovania";2026-01-11;"Matúš Šutaj Eštok";Hlas
"Rodičia s dvoma deťmi 900 eur si zaplatia tento rok účet.";Pravda;"Podľa R	ady pre rozpočtovú zodpovednosť sa v dôsledku konsolidácie znížia príjmy dvojice s dvomi deťmi v roku 2026 o 858 eur. Výrok preto hodnotíme ako pravdivý.";Ekonomika;2026-01-11;"Milan Majerský";"Kresťanskodemokratické hnutie"
"V rámci skráteného legislatívneho konania tu za predchádzajúcej vlády bol enormne väčší počet zákonov takto prijatých.";Zavádzajúce;"Počas štvrtej vlády Roberta Fica bolo do konca roka 2025 v skrátenom legislatívnom konaní prijatých 64 zákonov, zatiaľ čo v predchádzajúcom volebnom období ich bolo 110. Hoci ide o vyšší počet, od roku 2023 predstavujú zákony prijaté v skrátenom legislatívnom konaní väčší podiel zo všetkých schválených zákonov. Zároveň treba zohľadniť, že volebné obdobie od októbra 2023 do konca roka 2025 je o viac než rok kratšie než obdobie rokov 2020 – 2023. Porovnávanie absolútnych počtov zákonov prijatých v skrátenom legislatívnom konaní je preto zavádzajúce.";"Legislatívny proces a hlasovania";2026-01-11;"Matúš Šutaj Eštok";Hlas
"Firmy, podniky krachujú, 170 000 000 ste dali viac na platoch.";Neoveritelné;"V roku 2025 skončil na Slovensku v konkurze tretí najvyšší počet firiem za poslednú dekádu. Ministerstvo financií zároveň informovalo, že štát hospodáril lepšie, než predpokladal schválený rozpočet. Opoziční poslanci však upozorňujú na výpadok výberu daní a spochybňujú reálny obraz verejných financií. Zvýšenie paušálnych náhrad členov vlády predstavuje len zlomok zo 170 miliónov eur a z výroku nie je zrejmé, na aké platy Majerský odkazuje. Výrok preto hodnotíme ako neoveriteľný.";Ekonomika;2026-01-11;"Milan Majerský";"Kresťanskodemokratické hnutie"
"Prieskumy vám presne tieto agentúry Denníka N, SME a podobní, sú presne tieto agentúry IPSOS a NMS namerali, pani redaktorka, mesiac pred parlamentnými voľbami pod 10 %, skúste si to pozrieť. A potom bol výsledok taký, že sme mali 15 %.";Zavádzajúce;"V parlamentných voľbách z konca septembra 2023 získala strana Hlas 14,7 percenta hlasov. Prieskumy agentúr NMS a Ipsos z augusta a začiatku septembra 2023 jej síce namerali nižšiu podporu, ale ani v jednom prípade nešlo o hodnotu pod 10 percent. Obe prieskumné agentúry sú nezávislé a samotní zadávatelia ako Denník N či denník SME nemajú na zber a spracovanie ich dát dosah. Matúš Šutaj Eštok nadhodnocuje rozdiel medzi preferenciami, ktoré namerali agentúry, a volebným výsledkom, jeho výrok preto označujeme ako zavádzajúci. ";"Život politických strán";2026-01-11;"Matúš Šutaj Eštok";Hlas
